,id,title,price,description,discountPercentage,rating,stock,brand,category,thumbnail
11,12,Annibale Colombo Sofa,2499.99,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",14.4,3.92,60,Annibale Colombo,furniture,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp
12,13,Bedside Table African Cherry,299.99,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",19.09,2.87,64,Furniture Co.,furniture,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp
13,14,Knoll Saarinen Executive Conference Chair,499.99,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",2.01,4.88,26,Knoll,furniture,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp
14,15,Wooden Bathroom Sink With Mirror,799.99,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",8.8,3.59,7,Bath Trends,furniture,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp
15,16,Apple,1.99,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",12.62,4.19,8,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp
16,17,Beef Steak,12.99,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",9.61,4.47,86,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp
17,18,Cat Food,8.99,Nutritious cat food formulated to meet the dietary needs of your feline friend.,9.58,3.13,46,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp
18,19,Chicken Meat,9.99,"Fresh and tender chicken meat, suitable for various culinary preparations.",13.7,3.19,97,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp
19,20,Cooking Oil,4.99,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",9.33,4.8,10,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp
20,21,Cucumber,1.49,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",0.16,4.07,84,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp
21,22,Dog Food,10.99,Specially formulated dog food designed to provide essential nutrients for your canine companion.,10.27,4.55,71,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp
22,23,Eggs,2.99,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",11.05,2.53,9,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp
23,24,Fish Steak,14.99,"Quality fish steak, suitable for grilling, baking, or pan-searing.",4.23,3.78,74,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp
24,25,Green Bell Pepper,1.29,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",0.16,3.25,33,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp
25,26,Green Chili Pepper,0.99,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",1.0,3.66,3,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp
26,27,Honey Jar,6.99,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",14.4,3.97,34,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp
27,28,Ice Cream,5.49,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",8.69,3.39,27,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp
28,29,Juice,3.99,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",12.06,3.94,50,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp
29,30,Kiwi,2.49,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",15.22,4.93,99,nan,groceries,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp
